time,latitude,longitude,altitude,VDOP,baro_alt
2024-12-04 19:15:40,50.059205,19.977114,-19.8,1.5,131.04
2024-12-04 19:15:40,50.059204,19.977114,-19.7,1.5,131.14
2024-12-04 19:15:41,50.059204,19.977113,-19.6,1.5,131.12
2024-12-04 19:15:41,50.059202,19.977108,-19.5,1.5,131.08
2024-12-04 19:15:41,50.059201,19.977104,-19.4,1.5,131.03
2024-12-04 19:15:42,50.059199,19.9771,-19.3,1.5,130.92
2024-12-04 19:15:43,50.059196,19.977093,-19.1,1.5,131.17
2024-12-04 19:15:44,50.059195,19.97709,-19.0,1.5,131.06
2024-12-04 19:15:45,50.059194,19.977086,-18.9,1.5,130.88
2024-12-04 19:15:46,50.059193,19.977085,-18.8,1.5,130.94
2024-12-04 19:15:47,50.059193,19.977084,-18.7,1.5,131.12
2024-12-04 19:15:48,50.059192,19.977083,-18.6,1.5,131.09
2024-12-04 19:15:49,50.059191,19.97708,-18.5,1.5,131.08
2024-12-04 19:15:50,50.059191,19.977079,-18.4,1.5,131.01
2024-12-04 19:15:51,50.05919,19.977077,-18.3,1.5,131.12
2024-12-04 19:15:52,50.05919,19.977075,-18.1,1.5,131.09
2024-12-04 19:15:53,50.05919,19.977075,-18.0,1.5,131.17
2024-12-04 19:15:54,50.05919,19.977076,-17.9,1.5,131.05
2024-12-04 19:15:55,50.05919,19.977076,-17.8,1.5,130.99
2024-12-04 19:15:56,50.05919,19.977077,-17.7,1.5,131.03
2024-12-04 19:15:57,50.059191,19.977078,-17.6,1.5,131.07
2024-12-04 19:15:58,50.059191,19.97708,-17.5,1.5,130.94
2024-12-04 19:15:59,50.059192,19.977083,-17.4,1.5,131.02
