time,latitude,longitude,altitude,VDOP
2024-12-01 15:04:16,50.059431,19.978085,-40.6,4.1
2024-12-01 15:04:16,50.059429,19.97808,-39.3,4.1
2024-12-01 15:04:17,50.059424,19.978075,-37.9,4.1
2024-12-01 15:04:17,50.05942,19.978071,-36.7,4.1
2024-12-01 15:04:18,50.059421,19.97807,-35.0,4.1
2024-12-01 15:04:18,50.059424,19.978078,-32.3,4.1
2024-12-01 15:04:19,50.059426,19.978083,-28.4,4.1
2024-12-01 15:04:20,50.059429,19.978088,-25.1,4.1
2024-12-01 15:04:21,50.059428,19.978099,-25.7,4.1
2024-12-01 15:04:22,50.059427,19.9781,-25.8,4.1
2024-12-01 15:04:23,50.059418,19.978093,-25.0,4.1
2024-12-01 15:04:24,50.059393,19.978066,-39.8,4.1
