Time,Latitude,Longitude,Altitude
17:53:39,49.878161,20.651233,306.0
17:53:40,49.878162,20.651234,306.0
17:53:42,49.878162,20.651235,306.0
17:53:43,49.878162,20.651249,305.9
17:53:45,49.878165,20.651267,305.7
17:53:46,49.878169,20.65128,305.6
17:53:48,49.878177,20.651294,305.6
17:53:49,49.878186,20.651307,305.4
17:53:50,49.878193,20.651321,305.3
17:53:52,49.878197,20.651334,305.2
17:53:53,49.878198,20.651345,305.2
17:53:55,49.878197,20.651358,305.3
17:53:56,49.878199,20.651361,305.2
17:53:58,49.8782,20.651362,305.2
17:53:59,49.8782,20.651363,305.3
17:54:00,49.878201,20.651363,305.2
17:54:02,49.878201,20.651364,305.2
17:54:03,49.878201,20.651365,305.2
17:54:05,49.878202,20.651365,305.2
17:54:06,49.878202,20.651366,305.2
17:54:07,49.878202,20.651366,305.2
17:54:09,49.878202,20.651366,305.2
17:54:10,49.878202,20.651366,305.2
17:54:12,49.878202,20.651366,305.2
17:54:13,49.878202,20.651366,305.2
17:54:14,49.878201,20.651366,305.2
17:54:16,49.878201,20.651367,305.2
17:54:17,49.878209,20.651372,305.1
17:54:19,49.878219,20.651378,304.9
17:54:20,49.87823,20.651384,304.7
17:54:21,49.878242,20.65139,304.4
17:54:23,49.878253,20.651401,304.1
17:54:24,49.878262,20.65141,304.0
17:54:26,49.878271,20.651418,303.9
17:54:27,49.878279,20.651429,303.6
17:54:28,49.878289,20.651439,303.3
17:54:30,49.878298,20.651446,303.0
17:54:31,49.878307,20.651456,302.7
17:54:32,49.878316,20.651466,302.6
17:54:34,49.878326,20.651475,302.3
17:54:35,49.878336,20.651485,301.9
17:54:37,49.878345,20.651496,301.6
17:54:38,49.878355,20.651506,301.3
17:54:40,49.878365,20.651515,301.1
17:54:41,49.878375,20.651524,300.6
17:54:42,49.878384,20.651534,300.3
17:54:44,49.878392,20.651543,300.2
17:54:45,49.878402,20.651551,300.0
17:54:47,49.878413,20.651562,299.7
17:54:48,49.878422,20.651572,299.4
17:54:49,49.878431,20.65158,299.3
17:54:51,49.87844,20.651588,299.2
17:54:52,49.87845,20.651598,298.9
17:54:53,49.878461,20.651607,298.7
17:54:55,49.87847,20.651616,298.4
17:54:56,49.878481,20.651627,298.2
17:54:58,49.878491,20.651638,298.1
17:54:59,49.878499,20.651648,297.6
17:55:01,49.878509,20.651659,297.2
17:55:02,49.87852,20.651668,297.0
17:55:04,49.87853,20.651678,296.8
17:55:05,49.878541,20.651688,296.5
17:55:06,49.878551,20.651699,296.2
17:55:08,49.87856,20.651709,295.9
17:55:09,49.87857,20.65172,295.7
17:55:11,49.878581,20.651731,295.4
17:55:12,49.878591,20.65174,295.2
17:55:13,49.8786,20.651749,294.8
17:55:15,49.878612,20.651755,294.7
17:55:16,49.878625,20.651758,294.5
17:55:18,49.878638,20.651757,294.3
17:55:19,49.878654,20.651753,294.2
17:55:21,49.878667,20.651746,294.4
17:55:22,49.878674,20.651729,294.4
17:55:23,49.878681,20.651711,294.4
17:55:25,49.878687,20.651694,294.5
17:55:26,49.878691,20.651679,294.4
17:55:28,49.878696,20.651662,294.0
17:55:29,49.878704,20.651644,293.8
17:55:31,49.878711,20.651627,293.9
17:55:32,49.878718,20.651608,293.9
17:55:33,49.878724,20.651591,293.8
17:55:35,49.878729,20.651574,293.9
17:55:36,49.878735,20.651556,293.9
17:55:38,49.87874,20.651537,293.9
17:55:39,49.878745,20.651518,293.9
17:55:41,49.87875,20.6515,293.9
17:55:42,49.878755,20.651481,294.0
17:55:44,49.87876,20.651461,294.0
17:55:45,49.878765,20.651443,293.9
17:55:46,49.878771,20.651423,294.0
17:55:48,49.878772,20.651405,294.0
17:55:49,49.878769,20.651389,294.0
17:55:51,49.878762,20.651376,294.2
17:55:52,49.878753,20.651363,294.4
17:55:53,49.878743,20.651353,294.6
17:55:55,49.878734,20.651344,294.9
17:55:56,49.878725,20.651334,295.2
17:55:58,49.878716,20.651325,295.6
17:55:59,49.878707,20.651316,295.9
17:56:00,49.878698,20.651308,296.1
17:56:02,49.87869,20.651299,296.4
17:56:03,49.878682,20.651291,296.5
17:56:05,49.878676,20.651285,296.7
17:56:06,49.87867,20.651278,296.9
17:56:08,49.878663,20.65127,297.0
17:56:09,49.878656,20.651264,297.3
17:56:10,49.878648,20.651257,297.5
17:56:12,49.878642,20.65125,297.7
17:56:13,49.878642,20.651248,297.8
17:56:15,49.878642,20.651247,297.8
17:56:16,49.878642,20.651246,297.9
17:56:17,49.878642,20.651246,297.9
17:56:19,49.878642,20.651245,297.9
17:56:20,49.878642,20.651245,298.0
17:56:22,49.878642,20.651244,298.0
17:56:23,49.878641,20.651243,298.1
17:56:24,49.878641,20.651243,298.1
17:56:26,49.878641,20.651242,298.2
17:56:27,49.878641,20.651242,298.2
17:56:29,49.878641,20.651241,298.2
17:56:30,49.878633,20.651234,298.4
17:56:31,49.878623,20.651225,298.7
17:56:33,49.878614,20.651216,298.9
17:56:34,49.878604,20.651207,299.1
17:56:36,49.878595,20.651197,299.5
17:56:37,49.878588,20.651188,299.8
17:56:38,49.878579,20.651179,300.1
17:56:40,49.87857,20.65117,300.5
17:56:41,49.878561,20.651163,300.7
17:56:43,49.878552,20.651155,300.9
17:56:44,49.878543,20.651148,301.0
17:56:45,49.878533,20.651142,301.3
17:56:47,49.878523,20.651138,301.3
17:56:48,49.878512,20.651135,301.6
17:56:50,49.878503,20.651135,301.7
